Lebensmittel schuld an europäischer Inflation	Food: Where European inflation slipped up	Food is to blame for European inflation
Deshalb sind keine massiven Sozialprogramme nötig, die leider gerade in den letzten Jahren ganz überflüssigerweise in gigantischem Ausmaß aufgeblasen wurden.	Therefore there is no need for any massive social programs, which have unfortunately been inflated to a huge extent in the past years.	That is why we do not need massive social programmes, which have, unfortunately, been quite unnecessarily inflated to such an extent in recent years.
Auch wenn es gelungen ist, einen Teil der unsinnigen populistischen Ausgaben, die dieses Jahr vor den Wahlen verabschiedet wurden, zu streichen, ist klar, dass wenn es in nächster Zeit nicht zu einer Verschiebung des Renteneintrittsalters und zu einer Rentenreform kommt, dann endet praktisch jegliche Politik in diesem Land, und, ganz gleich wer an der Macht ist, wird ihm nichts als reines Verwalten bleiben.	Though they managed to cancel a part of the absurd populistic  expenditures passed this year before the elections, if the shift of the age limit for retirement and the revision of pensions does not take place soon, any politics in this country will virtually end, regardless of who is ruling then, it will be mere paperwork.	Even though we have managed to remove some of the senseless populist spending that was adopted this year before the elections, it is clear that, if there is no shift in the retirement age and pension reform in the near future, then practically any policy in this country will end and, no matter who is in power, it will remain nothing but mere administrators.
Es ist nur leicht übertrieben, wenn man sagt, dass dann aus herrschenden Politikern Beamte werden, die den größten Teil der Steuereinnahmen mechanisch auf Renten und Sozialausgaben aufteilen.	With a bit of exaggeration, we can say that the governing politicians will become white-collar workers mechanically distributing most of the taxed money between pensions and social benefits.	It is only a slight exaggeration to say that the leaders of politicians will then become officials who mechanically divide the majority of tax revenue into pensions and social expenditure.
Deshalb kann der diesjährige Haushalt keine Revolution sein, sondern kann nur der Verdrängung normaler Ausgaben durch Pflichtausgaben Einhalt gebieten.	Therefore this year's budget cannot be revolutionary in any way, it can only set back the mandatory expenditures pushing away the normal expenditures.	This year's budget cannot therefore be a revolution, but can only stop the squeezing of normal expenditure by compulsory expenditure.
Das für 2008 vorgesehene Defizit von 70 Milliarden Kronen wäre durchaus überflüssig, wenn frühere Regierungen in den letzten zehn Jahren nicht ausgegeben hätten, was nur ging.	The planned deficit of 70 billion for 2008 would be totally useless if the past governments had not lost as much as they could during the last ten years.	The deficit of SEK 70 billion, which is planned for 2008, would be completely superfluous if previous governments had not spent the last ten years, which was only possible.
Wenn wir nicht wollen, dass es wirklich dazu kommt, dass aus herrschenden Politikern reine Verwaltungsbeamte werden, dann müssen wir geduldig sein und dieser nicht allzu starken Koalitionsregierung, die sich aber dessen bewusst ist, dass der Staat nur so viel ausgeben kann, wie er an Steuern und Gebühren einzunehmen in der Lage ist, Ruhe bei der Vorbereitung weiterer Reformgesetze wünschen.	If we do not want to let the governing politicians become mere white-collar workers, we have to be patient and allow the not very strong coalition government, which is aware of the fact that the state can give over only as much as it can obtain on taxes and charges, peace for the preparation of other reform laws.	If we do not want to see the situation really become a mere administrative officer from the top of the political spectrum, we must be patient and this coalition government, which is not too strong, but which is aware that the State can only spend as much as it can collect in terms of taxes and charges, can wish to be quiet in the preparation of further reform laws.
Nur diese ermöglichen eine schrittweise Durchsetzung eines ausgeglichenen Staatshaushalts.	Only they will allow for a gradual achievement of a balanced state budget.	Only these will allow a gradual implementation of a balanced state budget.
Jiří Krejčí	Jiří Krejčí	Jiří Krejčí
Banken wollen Krise bewältigen	Banks Want to Solve Crisis	Banks want to overcome crisis
Die amerikanische Federal Reserve, die Europäische Zentralbank und die Zentralbanken Großbritanniens, der Schweiz und Kanadas haben beschlossen, gemeinsam gegen die Krise auf den Finanzmärkten zu kämpfen.	The American Federal Reserve Bank, The European Central Bank and the central banks of Great Britain, Switzerland and Canada have decided to fight against the crisis on financial markets together.	The US Federal Reserve, the European Central Bank and the central banks of Great Britain, Switzerland and Canada have decided to fight together against the crisis in the financial markets.
So werden mehr als 100 Milliarden Dollar vermittels Auktionen auf die Währungsmärkte gelangen.	More than $100 billion will enter the monetary markets by means of public sales.	More than USD 100 billion will be spent on the currency markets by auction.
Auf diesen Auktionen versteigern die Banken Zinssätze, zu denen sie bereit sind sich gegenseitig Geld zu leihen.	In public sales, banks bid on the interest rate for which they are willing to borrow money.	At these auctions, banks are selling each other up interest rates, and they are prepared to lend each other money.
Zum Beispiel schickt die amerikanische Fed 40 Milliarden Dollar auf Auktion, weitere 24 macht sie für die Europäische und die schweizerische Zentralbank locker.	For example, the American Fed will send $40 billion into public sale and make 24 more available to the European and Swiss Central Banks.	For example, the American Fed is sending USD 40 billion to auction, and another 24 is doing it more for the European and Swiss Central Bank.
Es ist nach den Anschlägen des 11.September das erste Mal, dass sich die Zentralbanken der einzelnen Staaten auf ein derart koordiniertes Vorgehen zur Abwehr beziehungsweise Abmilderung der Folgen einer Finanzkrise einigen.	It is the first time after the September 11 attacks that the central banks of the individual states settled on such a coordinated procedure aimed at preventing or decreasing the effects of a financial crisis.	It is the first time since the attacks of 11 September that the central banks of the various states have agreed on such a coordinated approach to avert or mitigate the consequences of a financial crisis.
"Dieser Schritt soll die größten Schwierigkeiten der Wirtschaft beseitigen, also den zunehmenden Mangel an frei verfügbarem Kapital, das die Banken verleihen können," schrieb in einem Bericht für seine Kunden Bernard Baumohl von der Beratungsfirma Economic Outlook Group.	"This step should solve the biggest economic problems, i.e. the growing lack of free capital banks can lend," wrote Bernard Baumohl from the counselling company Economic Outlook Group in the report for his clients.	'This step is intended to eliminate the greatest difficulties facing the economy, in other words the growing lack of free capital available that the banks can lend ', wrote in a report for its clients, Bernard Baumohl, from the Economic Outlook Group.
"Die koordinierte Aktion der Zentralbanken hat die Wahrscheinlichkeit einer Rezession in den USA von 65% auf etwa 50% verringert," fügte Baumohl in seinem Bericht hinzu.	"The coordinated action of the central banks reduced the probability of the recession in the U.S. from 65 percent to about 50 percent," added Baumohl in the report.	'The coordinated action of central banks has reduced the likelihood of recession in the US from 65% to around 50% ', added Baumohl in his report.
Die Banken haben wegen nicht bedienter Kredite schon um 60 Milliarden Dollar verloren, vor allem in den Vereinigten Staaten.	Banks have already lost $60 billion due to the non-repaid loans, especially in the U.S.	The banks have already lost USD 60 billion on outstanding loans, particularly in the United States.
